station_id,station_name,river_name,city,state,tz
05536890,"CHICAGO SANITARY AND SHIP CANAL NR LEMONT, IL",Chicago Sanitary and Ship Canal,Lemont,IL,America/Chicago
05536995,"CHICAGO SANITARY AND SHIP CANAL BELOW FISH BARRIER AT ROMEOVILLE, IL",Chicago Sanitary and Ship Canal,Romeoville,IL,America/Chicago
05538010,"DES PLAINES RIVER ABOVE BRANDON ROAD LOCK AND DAM AT ROCKDALE, IL",Des Plaines River,Rockdale,IL,America/Chicago
05538020,"DES PLAINES RIVER BELOW BRANDON ROAD LOCK AND DAM AT ROCKDALE, IL",Des Plaines River,Rockdale,IL,America/Chicago
412341088161001,"DRESDEN GENERATING STATION OUTFALL NR MINOOKA, IL",Illinois River,Minooka,IL,America/Chicago
05541498,"ILLINOIS RIVER ABOVE DRESDEN ISLAND DAM NEAR MINOOKA, IL",Illinois River,Minooka,IL,America/Chicago
411955088280601,"HANSON GRAVEL WEST PIT AT CULVERT NR MORRIS, IL",Illinois River,Morris,IL,America/Chicago
412957090371001,"MISSISSIPPI R AT CREDIT ISLAND NEAR DAVENPORT, IA",Mississippi River,Davenport,IA,America/Chicago
412652509111316,"BIG TIMBER BACKWATER (P17) NEAR PORT LOUISA, IA",Mississippi River,Port Louisa,IA,America/Chicago
411333091051000,"CLEVELAND SLOUGH (P17) NEAR PORT LOUISA, IA",Mississippi River,Port Louisa,IA,America/Chicago
411133091003401,"ELIZA CREEK AT BOSTON BAY (P18) AT NEW BOSTON, IL",Mississippi River,New Boston,IL,America/Chicago
412109083063800,"SANDUSKY RIVER AT BRADYS ISLAND AT FREMONT, OH",Sandusky River,Fremont,OH,America/New_York
412618083021701,"SANDUSKY RIVER AT OTTAWA SHOOTING CLUB NR WIGHTMANS GROVE, OH",Sandusky River,Wightman's Grove,OH,America/New_York
